               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034219,            0.017088,            0.012376,             0.88397,             0.77427,             0.90444,             0.63064,            0.023909,           0.0047661,            0.012724,            0.006535,            0.006535,            0.006535
                  37,            0.032765,             0.01535,            0.011262,             0.92997,               0.984,             0.98124,             0.67038,             0.02302,           0.0042265,           0.0017944,            0.006436,            0.006436,            0.006436
                  38,            0.031909,            0.016144,             0.01122,             0.90155,             0.93507,             0.93599,             0.63766,             0.02196,           0.0043091,           0.0024106,            0.006337,            0.006337,            0.006337
                  39,            0.030668,              0.0155,            0.010466,             0.88896,             0.78856,             0.93983,             0.64943,            0.023001,           0.0051108,           0.0049595,            0.006238,            0.006238,            0.006238
                  40,            0.030956,            0.014728,            0.010053,             0.91159,             0.89715,             0.98048,             0.66853,             0.02257,           0.0046914,           0.0028217,            0.006139,            0.006139,            0.006139
                  41,            0.030668,             0.01596,            0.010379,             0.88385,             0.84658,             0.91764,             0.61917,            0.022717,           0.0044821,            0.010632,             0.00604,             0.00604,             0.00604
                  42,            0.029889,            0.015214,           0.0088312,              0.9039,             0.98414,             0.97281,             0.67659,            0.022992,           0.0043178,           0.0020816,            0.005941,            0.005941,            0.005941
                  43,            0.030192,            0.016235,           0.0093407,             0.87416,             0.94274,             0.92576,             0.67488,            0.020438,           0.0043673,           0.0018257,            0.005842,            0.005842,            0.005842
                  44,            0.031289,            0.015303,            0.010073,             0.91739,             0.93295,             0.95337,             0.69688,            0.021064,           0.0044614,            0.001802,            0.005743,            0.005743,            0.005743
                  45,            0.031491,             0.01548,           0.0082524,             0.95436,             0.88602,             0.97568,             0.67002,            0.021425,           0.0046741,           0.0094207,            0.005644,            0.005644,            0.005644
                  46,            0.031618,            0.015979,            0.011091,             0.94979,             0.83735,             0.93665,             0.66552,            0.026015,            0.004884,           0.0048716,            0.005545,            0.005545,            0.005545
                  47,            0.028301,            0.014355,           0.0074567,             0.89067,             0.88781,             0.96902,             0.68634,             0.02465,           0.0048957,           0.0099507,            0.005446,            0.005446,            0.005446
                  48,            0.027676,            0.015238,           0.0096701,             0.93119,             0.96756,             0.97742,             0.72956,            0.022627,           0.0042931,           0.0021726,            0.005347,            0.005347,            0.005347
                  49,            0.029436,            0.015596,           0.0078145,              0.9131,             0.93314,             0.95477,             0.70942,            0.020488,           0.0042046,           0.0013332,            0.005248,            0.005248,            0.005248
                  50,            0.029457,            0.015154,            0.012477,             0.91546,             0.90984,             0.97081,             0.72076,            0.021549,           0.0042194,           0.0016643,            0.005149,            0.005149,            0.005149
                  51,            0.028629,            0.014235,            0.010271,             0.86302,             0.95141,             0.95579,             0.68975,             0.01952,           0.0042008,           0.0024611,             0.00505,             0.00505,             0.00505
                  52,            0.027056,            0.014282,           0.0092866,              0.9743,             0.97461,             0.98459,             0.72123,            0.021637,           0.0038259,           0.0015164,            0.004951,            0.004951,            0.004951
                  53,            0.029204,            0.015225,           0.0078582,             0.92531,              0.9475,             0.94133,             0.67883,            0.022014,           0.0040429,           0.0014774,            0.004852,            0.004852,            0.004852
                  54,            0.027159,             0.01366,           0.0080614,             0.93336,             0.95294,             0.95937,             0.70029,            0.021683,           0.0036513,           0.0011428,            0.004753,            0.004753,            0.004753
                  55,            0.026893,            0.013484,           0.0078688,              0.9083,             0.93339,             0.95577,             0.71781,            0.018783,           0.0039769,           0.0012852,            0.004654,            0.004654,            0.004654
                  56,            0.029438,            0.015944,           0.0091471,             0.88064,              0.9556,             0.95801,             0.70637,            0.020272,           0.0038521,           0.0019928,            0.004555,            0.004555,            0.004555
                  57,            0.026311,            0.013635,           0.0085224,             0.89488,             0.94076,             0.94717,             0.70745,            0.017676,           0.0040011,            0.001919,            0.004456,            0.004456,            0.004456
                  58,            0.026727,             0.01415,           0.0095588,             0.93241,             0.94769,             0.95805,             0.70709,            0.019471,           0.0039347,           0.0024416,            0.004357,            0.004357,            0.004357
                  59,            0.027026,            0.015149,            0.010898,             0.91574,              0.8704,             0.94111,             0.68765,            0.021335,           0.0038882,           0.0014243,            0.004258,            0.004258,            0.004258
                  60,             0.02801,            0.013886,           0.0075452,             0.90571,             0.96381,             0.94853,             0.70137,             0.02014,           0.0038754,           0.0016354,            0.004159,            0.004159,            0.004159
                  61,            0.025806,            0.014018,           0.0079491,             0.91656,             0.96613,             0.96195,             0.72892,            0.020312,           0.0038383,           0.0011707,             0.00406,             0.00406,             0.00406
                  62,             0.02707,            0.014114,           0.0081328,             0.94612,             0.92857,             0.97747,             0.72426,            0.019328,           0.0038367,           0.0011421,            0.003961,            0.003961,            0.003961
                  63,            0.026258,             0.01405,           0.0062323,              0.9622,             0.97619,             0.98624,             0.76829,              0.0176,           0.0035953,           0.0010133,            0.003862,            0.003862,            0.003862
                  64,            0.026256,            0.013898,            0.015768,             0.93509,             0.97619,             0.97936,             0.73903,            0.019491,           0.0035914,          0.00092893,            0.003763,            0.003763,            0.003763
                  65,            0.025892,            0.014956,            0.006179,             0.94938,             0.91424,             0.94718,             0.72255,            0.019794,           0.0040653,           0.0024859,            0.003664,            0.003664,            0.003664
                  66,            0.025437,            0.013346,           0.0071273,              0.9004,             0.97205,             0.96746,             0.75026,            0.017433,           0.0036104,          0.00093166,            0.003565,            0.003565,            0.003565
                  67,            0.025487,            0.013912,            0.008759,             0.93468,             0.97944,             0.98111,             0.76655,            0.017875,            0.003684,           0.0011752,            0.003466,            0.003466,            0.003466
                  68,             0.02435,            0.012453,           0.0071817,             0.93852,             0.96429,             0.97045,             0.71163,            0.019517,           0.0039085,          0.00097287,            0.003367,            0.003367,            0.003367
                  69,            0.026872,            0.014085,            0.011741,             0.94644,             0.95922,             0.98071,             0.75627,            0.015568,           0.0037213,           0.0010687,            0.003268,            0.003268,            0.003268
                  70,            0.024917,            0.013622,           0.0053894,             0.94563,             0.96575,             0.97609,             0.77095,            0.015594,           0.0035385,           0.0012587,            0.003169,            0.003169,            0.003169
                  71,             0.02398,            0.013635,           0.0055222,             0.95112,             0.97279,             0.96913,             0.79015,            0.015574,            0.003514,           0.0013837,             0.00307,             0.00307,             0.00307
                  72,            0.024493,            0.013319,           0.0045831,             0.96841,                   1,               0.995,              0.7638,            0.015124,           0.0034635,          0.00073507,            0.002971,            0.002971,            0.002971
                  73,            0.022859,            0.013707,           0.0041676,             0.97809,                   1,               0.995,             0.77538,            0.015525,           0.0035487,          0.00070631,            0.002872,            0.002872,            0.002872
                  74,            0.023189,            0.012139,            0.005364,             0.97354,                   1,               0.995,             0.78251,            0.016271,           0.0035218,          0.00066549,            0.002773,            0.002773,            0.002773
                  75,            0.024626,              0.0131,           0.0073275,              0.9607,             0.99644,               0.995,             0.76827,            0.017681,           0.0034832,          0.00068929,            0.002674,            0.002674,            0.002674
                  76,            0.024783,            0.013929,           0.0063988,              0.9615,                   1,               0.995,             0.78068,            0.015572,           0.0032906,          0.00068673,            0.002575,            0.002575,            0.002575
                  77,            0.024281,            0.013156,            0.006232,             0.97231,                   1,               0.995,             0.78451,            0.015804,            0.003421,          0.00063363,            0.002476,            0.002476,            0.002476
                  78,            0.023564,            0.013679,           0.0055153,             0.97142,                   1,               0.995,             0.80459,            0.014309,           0.0033773,          0.00062052,            0.002377,            0.002377,            0.002377
                  79,            0.023344,            0.012087,           0.0040211,             0.97197,             0.99553,               0.995,             0.80213,            0.014849,           0.0032609,          0.00067943,            0.002278,            0.002278,            0.002278
                  80,            0.022478,            0.013045,           0.0041277,             0.97365,                   1,               0.995,             0.80051,            0.014461,           0.0031967,           0.0008521,            0.002179,            0.002179,            0.002179
                  81,            0.022265,            0.012352,           0.0060373,             0.97555,             0.99684,               0.995,             0.81215,            0.014935,           0.0032067,            0.000705,             0.00208,             0.00208,             0.00208
                  82,            0.022674,            0.012496,           0.0045154,             0.97572,                   1,               0.995,             0.79446,            0.014849,           0.0033195,          0.00059275,            0.001981,            0.001981,            0.001981
                  83,            0.021747,            0.011614,           0.0039012,              0.9594,             0.98498,             0.98583,             0.79872,            0.015723,           0.0033433,          0.00063467,            0.001882,            0.001882,            0.001882
                  84,             0.02218,            0.011346,           0.0064313,              0.9577,             0.97543,              0.9778,             0.80869,            0.014965,           0.0033053,          0.00058579,            0.001783,            0.001783,            0.001783
                  85,            0.021817,            0.011819,           0.0052238,              0.9761,              0.9971,               0.995,             0.82008,             0.01361,           0.0032485,          0.00059348,            0.001684,            0.001684,            0.001684
                  86,            0.021162,            0.012254,           0.0097228,             0.97901,             0.99089,               0.995,             0.81805,            0.014468,           0.0032195,          0.00057702,            0.001585,            0.001585,            0.001585
                  87,            0.021143,            0.012251,           0.0074354,             0.97368,             0.99106,               0.995,             0.82188,            0.015153,           0.0033754,           0.0005703,            0.001486,            0.001486,            0.001486
                  88,            0.023421,            0.012523,           0.0053561,              0.9684,             0.97864,             0.98307,             0.83029,            0.014556,           0.0030664,          0.00053366,            0.001387,            0.001387,            0.001387
                  89,            0.022177,            0.012626,           0.0041924,              0.9701,             0.98025,             0.98365,              0.8195,            0.013334,           0.0031092,          0.00048657,            0.001288,            0.001288,            0.001288
                  90,            0.020625,            0.012493,           0.0044073,              0.9743,             0.99768,               0.995,             0.81912,            0.013479,           0.0031171,          0.00047454,            0.001189,            0.001189,            0.001189
                  91,            0.020222,            0.011869,           0.0056132,             0.97462,                   1,               0.995,             0.82996,            0.013096,           0.0030717,          0.00045921,             0.00109,             0.00109,             0.00109
                  92,            0.023804,            0.012805,           0.0033869,               0.973,             0.99715,               0.995,             0.83812,            0.012181,           0.0031127,          0.00045517,            0.000991,            0.000991,            0.000991
                  93,            0.022428,            0.012903,           0.0051886,             0.97867,                   1,               0.995,             0.83417,            0.012459,           0.0031096,          0.00042083,            0.000892,            0.000892,            0.000892
                  94,            0.020911,            0.011952,           0.0038548,             0.98137,                   1,               0.995,             0.81896,            0.012555,           0.0031572,          0.00040794,            0.000793,            0.000793,            0.000793
                  95,            0.021993,            0.011972,           0.0048006,             0.97027,              0.9881,             0.98569,               0.829,             0.01276,           0.0032001,          0.00039922,            0.000694,            0.000694,            0.000694
                  96,            0.022237,              0.0128,            0.006499,             0.96831,              0.9881,             0.98524,             0.83069,            0.012633,           0.0031449,          0.00040148,            0.000595,            0.000595,            0.000595
                  97,            0.019669,            0.011035,           0.0056301,             0.96859,              0.9881,             0.98352,               0.828,            0.012561,           0.0031544,          0.00040026,            0.000496,            0.000496,            0.000496
                  98,            0.020255,            0.011514,           0.0083824,             0.96877,              0.9881,             0.98263,             0.82114,            0.012519,           0.0031513,          0.00039646,            0.000397,            0.000397,            0.000397
                  99,            0.019608,            0.011359,           0.0077096,             0.96987,              0.9881,             0.98082,             0.82568,             0.01312,           0.0031786,          0.00039177,            0.000298,            0.000298,            0.000298
